phase,dataset,algorithm,variant,seed,metric,variant_value,baseline_value,delta_vs_baseline
smoke,paul15_bone_marrow,DESC,density_only_triplet_kmeans,42,runtime,85.66491842269897,58.974791526794434,26.69012689590454
smoke,paul15_bone_marrow,scMAE,full_kmeans,42,NMI,0.6171311841221294,0.6307063911488362,-0.013575207026706781
smoke,paul15_bone_marrow,scMAE,full_kmeans,42,ARI,0.3789302790192501,0.404513623294461,-0.025583344275210917
smoke,paul15_bone_marrow,scMAE,full_kmeans,42,ACC,0.4663003663003663,0.4915750915750915,-0.025274725274725185
smoke,paul15_bone_marrow,scMAE,full_kmeans,42,F1_Macro,0.3639298277933895,0.4159577230446047,-0.052027895251215206
smoke,paul15_bone_marrow,scMAE,full_kmeans,42,BalancedACC,0.4248940837923908,0.4930925376121112,-0.0681984538197204
smoke,paul15_bone_marrow,scMAE,full_kmeans,42,RareACC,0.3071895424836601,0.355119825708061,-0.047930283224400905
smoke,paul15_bone_marrow,scMAE,full_kmeans,42,Silhouette,0.1852433979511261,0.0852846354246139,0.0999587625265122
smoke,paul15_bone_marrow,scMAE,full_kmeans,42,runtime,19.207096576690677,11.843692779541016,7.363403797149662
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans,42,NMI,0.5335894116482279,0.5287425335672497,0.0048468780809782785
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans,42,ARI,0.306851564784691,0.2811568461961214,0.025694718588569587
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans,42,ACC,0.3754578754578754,0.4168498168498168,-0.04139194139194141
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans,42,F1_Macro,0.3208940721658311,0.3691721336151861,-0.04827806144935498
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans,42,BalancedACC,0.3547936315220626,0.3996199980006636,-0.044826366478601
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans,42,RareACC,0.2396514161220043,0.2875816993464052,-0.047930283224400905
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans,42,Silhouette,0.2867465192631898,0.2761974042488919,0.010549115014297894
smoke,paul15_bone_marrow,scDeepCluster,full_kmeans,42,runtime,209.0736513137817,155.61972784996033,53.45392346382138
smoke,paul15_bone_marrow,DESC,full_kmeans,42,NMI,0.5324065992983978,0.5343086180283043,-0.001902018729906474
smoke,paul15_bone_marrow,DESC,full_kmeans,42,ARI,0.288219773279218,0.2891666483257258,-0.0009468750465078113
smoke,paul15_bone_marrow,DESC,full_kmeans,42,ACC,0.3626373626373626,0.3626373626373626,0.0
smoke,paul15_bone_marrow,DESC,full_kmeans,42,F1_Macro,0.2063687035630161,0.2051227935153836,0.001245910047632498
smoke,paul15_bone_marrow,DESC,full_kmeans,42,BalancedACC,0.2923570769007005,0.2932857238921653,-0.0009286469914647766
smoke,paul15_bone_marrow,DESC,full_kmeans,42,RareACC,0.130718954248366,0.130718954248366,0.0
smoke,paul15_bone_marrow,DESC,full_kmeans,42,Silhouette,0.1308486461639404,0.143450453877449,-0.012601807713508606
smoke,paul15_bone_marrow,DESC,full_kmeans,42,runtime,67.49558115005493,58.974791526794434,8.520789623260498
smoke,paul15_bone_marrow,scMAE,full_kmeans_triplet,42,NMI,0.5672936941408692,0.6307063911488362,-0.06341269700796703
smoke,paul15_bone_marrow,scMAE,full_kmeans_triplet,42,ARI,0.3101228933358239,0.404513623294461,-0.09439072995863712
smoke,paul15_bone_marrow,scMAE,full_kmeans_triplet,42,ACC,0.4241758241758241,0.4915750915750915,-0.06739926739926738
smoke,paul15_bone_marrow,scMAE,full_kmeans_triplet,42,F1_Macro,0.432812094990994,0.4159577230446047,0.01685437194638928
smoke,paul15_bone_marrow,scMAE,full_kmeans_triplet,42,BalancedACC,0.4346846940337897,0.4930925376121112,-0.05840784357832152
